gene_name	healthy
ISG15	2.3523794184846376
ALPL	2.3586127259391727
RAP1GAP	1.7040384770597017
RUNX3	1.6871078898254943
IFI6	2.5648676917635136
TINAGL1	2.6233710071657064
LCK	1.3116868359145248
COL8A2	1.9208138172588671
CSF3R	2.0524246165549997
PPT1	2.4611774821802928
CYP4B1	2.496303283433668
CYP4Z1	1.9348407722438024
TAL1	1.886475755857172
LRP8	1.283542121818357
TACSTD2	2.7267125633083666
PDE4B	2.05135022286474
IL12RB2	0.6527750929719123
GADD45A	2.5867872270921084
DNASE2B	0.4907060954462969
LMO4	2.156299274473282
CDC7	1.4050230373291717
EVI5	1.6705200113143626
ABCD3	2.0415942224997465
GSTM1	2.3988411722412915
GSTM3	2.292322353092077
CD2	1.3784221441236215
CTSK	2.8312488738271964
PSMD4	2.6113395726014046
S100A12	1.6899489099721139
NPR1	2.546675666106556
EFNA3	0.6680943915466706
FCRL2	0.4052276386827992
CD1A	0.0903242273617488
CD1C	1.00623273653578
CD1B	0.1975745750299672
CD1E	0.36400751676947385
CD84	1.2790035430630504
FCGR3B	1.05453342012024
XCL2	0.6884741610065579
XCL1	0.5735175115869541
CHI3L1	2.6840995477871683
CHIT1	1.26021385427227
DYRK3	1.6018538198036272
C1orf116	1.6740159342293837
CR2	0.21680096641605603
G0S2	3.0181561970362534
HSD11B1	2.080277827333782
RCOR3	2.210219110990079
ATF3	2.5551802666693866
CENPF	0.6335128819097365
DEGS1	2.475848197331263
SIPA1L2	1.9843684153551633
ZBTB18	2.093126187256509
DTNB	1.9465108369607895
MAPRE3	2.3013047340619903
ZFP36L2	2.8423131931176315
BCL11A	1.0090976195260737
DYSF	1.9721811113724441
GNLY	1.817613273823325
CD8A	1.4103204955028772
CD8B	1.1200903327408276
DUSP2	1.924643857305224
LMAN2L	2.1921473066565667
AFF3	1.8323291154903305
SULT1C2	0.854857660749358
MALL	2.080878952328212
MARCO	2.01208562750523
RBMS1	2.3959608880732937
DPP4	1.938735404702388
SCN3A	1.0333908075402702
GALNT3	1.8393332822895088
LRP2	1.4624380144973574
SLC25A12	2.1262659125990644
ATF2	2.163543523795577
SSFA2	2.3519716438876817
TFPI	2.3631260993384067
CD28	1.0923414898629065
CTLA4	1.000946918781384
ICOS	0.4747903271697189
FN1	2.578453402680448
IGFBP5	2.9350262845555086
SCG2	0.8827940695225327
ARL4C	2.3082025853290573
MLPH	2.4080929676574128
IL5RA	0.18348676811956768
ATG7	1.8397584840017207
PPARG	2.5251772356500197
OSBPL10	1.667557877093604
CCR9	0.15300793942226645
CXCR6	0.7598334481436205
CCR3	0.06348387496515917
LTF	2.7540179607273343
SLC26A6	2.00711767203522
TRAT1	0.7624742814898033
CD96	1.0330990956726622
SLC15A2	1.2111306564222335
GATA2	2.075860604674535
PCOLCE2	2.4003579247947107
CPB1	1.896375810376296
CPA3	2.047617750721099
MME	2.2486583382215617
TIPARP	2.158929580478253
SHOX2	1.8444313541022737
LRRC31	0.23829609203450666
LAMP3	0.5977505636395086
IGF2BP2	1.7942048796267938
CLDN1	1.9290158078901496
ATP13A4	1.113753104556164
HES1	2.6884025405896605
PPP1R2	2.2641536132698583
APOD	3.1652310787727087
SPON2	2.3531252096704223
BST1	1.7768733100012457
CD38	1.5145920732993652
APBB2	2.206200626641809
FRYL	1.8995092186747031
SGCB	2.2292194809175627
KIT	2.4189236614393597
CXCL1	1.6907287037519176
PF4	0.5901863813082889
CXCL5	0.7092897881219872
EREG	0.6962768645079429
AREG	1.9834410575108872
SCARB2	2.553780568457072
HPSE	0.8978616226361822
PTPN13	1.9750455951818762
NUDT9	2.1318496955702844
ABCG2	1.5178561642649444
NDST4	0.010214528701449082
LRBA	1.8354500601221797
HPGD	1.6937603569793247
NEIL3	0.14196031176838722
CDKN2AIP	2.0927502642594145
RAI14	1.9816442331546835
MRPS30	1.893561818140313
GZMA	1.471954682100599
IL6ST	2.568907227169538
SLC30A5	2.1220965263440874
THBS4	2.318135785632893
DHFR	1.6127582763870332
MEF2C	2.0810622740245863
CSF2	0.03329418058858978
PDLIM4	2.3519301808085
SLC22A4	1.3784893796512778
CAMLG	2.3873712245657908
CDC25C	0.2976459428771843
HBEGF	2.3841057805896946
CSF1R	2.1136197107800503
GM2A	2.150874875584937
FGF18	1.4239251014350371
STC2	2.5441070526224783
PXDC1	2.5362134150568383
F13A1	2.480771106721108
GCNT2	1.3731152105082944
ID4	2.531149660216714
HIST1H1C	2.5180197200993533
HIST1H2BC	1.5161723648808394
HIST1H4H	1.4956796448544631
ABT1	2.164091219032364
UBD	1.2540685670827418
LTA	0.4818291424651647
HLA-DQA1	2.0677297333125444
HLA-DOB	1.6422980142049641
GUCA1A	0.10355806323387737
TBCC	1.9885983226867832
CDC5L	2.07196344458968
TFAP2B	1.911301723582672
GSTA4	2.17254101456713
ME1	2.181452414366226
BACH2	1.3889187073454183
PREP	2.1825611244849883
QRSL1	1.7579261778827362
ASF1A	1.9345175225270816
FABP7	1.205209917346515
VNN3	0.3931321297059013
AHI1	1.831922005502488
HEBP2	2.7462885515959976
ESR1	1.9630843023546047
PHF10	2.365716385583392
AGR3	2.0643352758777693
GPNMB	2.6291431735172672
HOXA9	0.8543730985157897
HOXA10	1.9102729732461297
CREB5	1.7676669203275075
ADCY1	1.288399453910467
ABCB4	0.7234440150463473
PEG10	1.7805963020723614
LRRN3	1.3369310411913438
DGKI	0.4933522048072554
MGAM	0.4989457229505408
CLEC5A	0.33977938859489504
TRPV6	1.6701811624335199
GIMAP5	2.3786377282500326
KCNH2	0.4551513054340336
KBTBD11	1.6920257744953486
BLK	0.5780827046020325
MSR1	1.64216659614404
SLC7A2	2.2702020828719056
SLC39A14	2.4235803556393813
TNFRSF10C	1.087374238477547
SLC25A37	2.164946830271328
PNOC	0.44266891917686413
DUSP4	2.2921888488107145
LEPROTL1	2.0866365195358143
ERLIN2	2.0197189436832965
SFRP1	2.6594001507485294
ANK1	0.5355181310535039
SDR16C5	1.038920419957062
PI15	2.322321219140502
FABP4	3.331529128985453
COX6C	2.4678997131480065
NCALD	2.011935460839371
MYC	2.657391753475745
KHDRBS3	1.9531535435060088
GLDC	0.8433280904994372
CD72	1.5259686075191072
ALDH1B1	2.0405519395176697
KLF9	2.6322331335948124
FBP1	2.300552449212759
ANP32B	2.7067797184259157
PTGS1	1.5721488204683671
CARD9	1.4425880650016545
PTGDS	2.5023310027054637
PRKCQ	0.8699668639567996
GATA3	2.4759254278627294
VIM	3.1174032454254115
YME1L1	2.3372984015277414
ZEB1	2.205937448312799
