gene_id	BC_01	BC_02	BC_03	BC_03LN	BC_04	BC_05	BC_06	BC_07	BC_07LN	BC_08	BC_09	BC_10	BC_11
ENSG00000225630.1	7.621648980340437	6.996826528020659	5.819882180459727	5.165436929483614	11.516231798299035	7.895313638940315	10.451891079229023	6.55028504908841	6.525256334469718	7.069525655271533	5.476079204068719	7.412336964540548	5.806652139690428
ENSG00000143184.4	0.0	0.0	3.382330755383869	2.6779899314746776	4.311535133843645	0.19477475930699456	0.0	5.001484363368429	0.008954968345070277	0.0	3.0727918181067024	0.017921907997262315	2.7386695906875254
ENSG00000211679.2	0.2855160364664169	3.710275101418	11.514548269675723	9.882559408415117	1.2412714096401385	0.0	8.444203231022723	5.879715374992837	9.386952036152504	0.666657807603147	7.878019227261024	0.4093909361377018	0.0
ENSG00000078898.6	0.0	2.178999123467077	0.432381635926418	0.27262045466299184	6.557964022142223	1.6511821868635987	0.0	0.9185358993711037	0.16398473364873167	0.0	0.0	0.0	0.0
ENSG00000111875.7	4.091048798457491	2.4755944809326556	4.833833716427831	4.295763091425939	4.454086647876882	4.994409277297454	2.323312417757903	5.6880596516295086	4.6953425546436	3.7800361609354813	4.461386675260565	4.154666238422889	4.3669261915106805
ENSG00000158477.6	0.0	0.26839161600330114	0.0	2.29817840369862	0.06735869972165744	0.0	0.0	5.536302838429407	1.2835304571725545	0.0	0.0	0.09339115325301343	3.003111551893121
ENSG00000218227.3	2.4908663007775984	1.4782322458518675	2.040181591681239	2.177135002949947	4.386483629787577	2.194201692748958	3.2712463739354583	2.0914509434192277	2.4279603014866225	2.191645037846555	1.648235329773634	0.6490405656344481	0.6992285567092008
ENSG00000158164.6	0.3570105540428075	0.0	0.0	0.0	0.0	2.845444431407592	0.0	4.339626474354693	6.509086295396235	3.946283329914367	0.0	3.8959690351629392	2.9570703742301196
ENSG00000122254.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05331581453245641	0.0	0.0	0.0	0.0	0.0
ENSG00000137124.6	3.709502731259073	1.8613173642146628	0.451041766259564	0.7984841726869212	1.6404483859405887	3.266757340972031	1.835600745019295	1.3310644608512694	0.9698811601743107	3.590596812663534	1.0784959811635062	1.8211999780564505	5.055952841999651
ENSG00000111537.4	0.0	0.0	3.2909105233526175	3.643562374686028	0.08636925815447459	0.0	0.0	6.7145229841463205	6.224391268511268	0.3458159679743152	8.012566811287066	0.08406426478847456	5.507016153153256
ENSG00000105246.5	0.0	0.0	0.4829180340797145	4.560726069185446	4.281321042050431	0.0	0.05213762333517526	2.539998085876315	2.3837368916999324	0.0	1.5172756932095814	0.9703935379146766	0.0
